,station_coords,station_names
8564,"'118.80072,32.136662'",燕子矶三台洞
8565,"'118.808672,32.141558'",燕子矶二台洞
8566,"'118.812001,32.143728'",燕子矶头台洞
8567,"'118.817215,32.145799'",燕子矶公园
8568,"'118.819207,32.141359'",门坡
8569,"'118.819814,32.13935'",化工新村东
8570,"'118.82188,32.135381'",燕子矶地铁站
8571,"'118.822388,32.131994'",胜利村
8572,"'118.821851,32.128992'",吉祥庵地铁站
8573,"'118.822258,32.126732'",神农路西
8574,"'118.826276,32.126801'",神农路·燕园路
8575,"'118.830185,32.127113'",南京特教学院
8576,"'118.834883,32.127756'",神农路桥
8577,"'118.834633,32.125263'",燕城大道·寅春西路
8578,"'118.838468,32.119592'",万寿
8579,"'118.851618,32.115846'",燕新路·瑞福大街
8580,"'118.854026,32.113386'",燕新路·福寿街
8581,"'118.857253,32.111437'",奋斗村
8582,"'118.859067,32.11281'",丁家庄
8583,"'118.866662,32.119256'",金尧西路
8584,"'118.872122,32.122543'",金尧花园
8585,"'118.874295,32.123476'",青田雅居
8586,"'118.876584,32.123293'",吴家边
8587,"'118.880756,32.118276'",省人民医院栖霞分院
8589,"'118.887641,32.122427'",尧化门地铁站西
8590,"'118.890185,32.123749'",前新塘
8591,"'118.891997,32.124764'",尧顺家园南
8592,"'118.894888,32.126416'",仙新路地铁站
9523,"'119.046276,31.66279'",汽车客运站
9524,"'119.042713,31.66115'",S7溧水站西
9525,"'119.039366,31.659275'",中山桥
9526,"'119.034783,31.658442'",明都苑
9530,"'119.021319,31.665135'",宝塔桥
9532,"'119.019032,31.673559'",一品骊城
9534,"'119.018039,31.682539'",岔路口
9535,"'119.017576,31.685381'",汽车4S园
9537,"'119.015599,31.693724'",金陵中学西
9538,"'119.016198,31.699446'",秀山路口
9539,"'119.016076,31.712869'",怡景家园
9540,"'119.014653,31.720386'",S7群力站·鼓楼医院
9541,"'119.01387,31.736848'",群力
9542,"'119.013322,31.739276'",群力中学
9543,"'119.012096,31.74457'",锣鼓墩
9544,"'119.01115,31.749448'",五谷塘
9545,"'119.015569,31.760933'",爱廉村委会
9546,"'119.019324,31.764855'",开泰村
9547,"'119.020573,31.772127'",杨家边
9548,"'119.022331,31.779713'",阎王桥
9549,"'119.027612,31.790757'",甲山村
9550,"'119.039563,31.804802'",郭庄
10307,"'118.810006,31.982194'",汇景西路
10308,"'118.802706,31.981672'",双龙街(石林家乐家)
10309,"'118.800766,31.984736'",夹岗
10310,"'118.801029,31.986541'",窨子山
10311,"'118.803828,31.990521'",春天家园
10312,"'118.805117,31.993053'",南京市中医院
10313,"'118.808899,32.000378'",后江沿
10314,"'118.810799,32.004544'",光卡路
10315,"'118.812308,32.010623'",马家圩
10316,"'118.813589,32.018733'",中和桥
10317,"'118.816171,32.024963'",光华门北
10318,"'118.816499,32.028226'",标营
10319,"'118.817067,32.033068'",御道街
10320,"'118.818728,32.041775'",明故宫
10321,"'118.818351,32.044497'",后宰门南
10322,"'118.809625,32.045566'",马标
10323,"'118.804532,32.046817'",珠江路·小营
10324,"'118.798447,32.048065'",浮桥
10325,"'118.788229,32.049931'",莲花桥
10326,"'118.78331,32.050323'",广州路·中山路
10327,"'118.778772,32.050156'",儿童医院
10328,"'118.774553,32.050851'",随家仓
10329,"'118.770556,32.050803'",脑科医院
10330,"'118.767114,32.047622'",省人民医院
10331,"'118.762023,32.048511'",清凉山公园
10332,"'118.750139,32.046194'",清凉门大桥西
10333,"'118.745933,32.04635'",清凉门大街·湛江路
10334,"'118.741962,32.046454'",中心南村
10335,"'118.737795,32.046637'",清凉门大街·管子桥
10336,"'118.734787,32.044154'",鼓楼河西服务中心
10337,"'118.731704,32.043139'",东宝路总站
11268,"'118.735144,32.091908'",江边路总站
11269,"'118.735932,32.09019'",公共路中
11270,"'118.742452,32.088989'",热河路
11271,"'118.751333,32.08622'",盐仓桥广场西
11272,"'118.758367,32.081163'",中山北路·萨家湾
11273,"'118.7632,32.076984'",中山北路·三牌楼
11274,"'118.768653,32.072244'",中山北路·虹桥
11275,"'118.775022,32.066706'",山西路
11276,"'118.776441,32.065456'",中山北路·大方巷
11277,"'118.782349,32.060337'",中山北路·鼓楼
11278,"'118.784042,32.057457'",鼓楼医院
11279,"'118.784002,32.048967'",中山路·珠江路南
11280,"'118.784023,32.03931'",新街口南
11281,"'118.784023,32.031936'",三元巷
11282,"'118.783333,32.02732'",中山南路·升州路
11283,"'118.780859,32.021092'",中山南路·新桥
11284,"'118.779808,32.017277'",钓鱼台
11285,"'118.777306,32.013143'",窑湾街
11286,"'118.771111,32.003525'",雨花西路
11287,"'118.768415,31.999961'",能仁里
11288,"'118.767163,31.995668'",雨花南路·安德门
11289,"'118.772027,31.993967'",公交总公司驾校
11290,"'118.777743,31.9926'",雨花台南大门
11293,"'118.790985,31.982764'",玉兰路
11294,"'118.793777,31.976175'",丁墙路
11295,"'118.796258,31.96769'",南京南站
12052,"'118.794395,32.086811'",南京站·南广场西
12053,"'118.791517,32.088324'",龙蟠路·南京站西
12054,"'118.788602,32.089838'",中央门东
12055,"'118.784023,32.087904'",中央门南
12056,"'118.784023,32.083846'",许府巷
12057,"'118.78232,32.077642'",新模范马路东
12058,"'118.777443,32.077539'",新模范马路·青石村
12059,"'118.771484,32.077473'",司背后
12060,"'118.767354,32.075351'",新模范马路·虹桥
12062,"'118.775503,32.063105'",云南路·大方巷
12063,"'118.774155,32.056758'",上海路·北京西路
12064,"'118.774517,32.053025'",五台山北
12065,"'118.776754,32.04548'",五台山
12066,"'118.774536,32.042469'",汉中路·莫愁路
12067,"'118.767735,32.042908'",汉中路·汉中门
12068,"'118.76608,32.041596'",虎踞南路·汉中门
12069,"'118.768938,32.03503'",虎踞南路·建邺路
12070,"'118.769343,32.032571'",虎踞南路·水西门
12071,"'118.762105,32.031752'",莫愁湖公园南门
12072,"'118.757269,32.031722'",大士茶亭地铁站
12073,"'118.754776,32.029099'",南湖
12536,"'118.756768,32.03718'",莫愁新寓
12537,"'118.75111,32.031591'",玉塘村
12538,"'118.750282,32.029709'",沿河村
12539,"'118.751543,32.026035'",集庆门大街·湖西街
12540,"'118.756423,32.023852'",东升村
12541,"'118.759796,32.022297'",南湖集贸市场
12542,"'118.761253,32.020275'",彩虹苑
12543,"'118.763779,32.019447'",集庆门大桥西
12544,"'118.772341,32.0187'",集庆门
12545,"'118.776351,32.018519'",殷高巷
12546,"'118.785173,32.017902'",市第一医院
12547,"'118.790404,32.015994'",琵琶巷
12548,"'118.794488,32.014516'",武定门
12549,"'118.799434,32.014835'",节制闸路西
12550,"'118.801298,32.015468'",节制闸
12551,"'118.802726,32.013493'",节制闸南
12552,"'118.804181,32.013209'",秦虹西
12553,"'118.807153,32.013993'",秦虹小区
12554,"'118.808788,32.010452'",康安里
12555,"'118.806525,32.007393'",康居里
12556,"'118.808467,32.00651'",康美里
12557,"'118.810883,32.005371'",光卡路
12558,"'118.808824,32.000608'",后江沿
12559,"'118.806367,31.996133'",南京市中医院
12560,"'118.803624,31.995974'",洪家园
12561,"'118.799943,31.997709'",洪家园西
12562,"'118.795881,31.993859'",城头城
12563,"'118.793498,31.991233'",紫荆花路东
12564,"'118.789524,31.989797'",宁南小区
12565,"'118.778108,31.988387'",花神庙
12566,"'118.771719,31.994115'",公交总公司驾校
12567,"'118.767593,31.995611'",雨花南路·安德门
12568,"'118.759628,31.997089'",龙福山庄
12569,"'118.756473,32.002161'",纬八立交桥北
12570,"'118.753211,31.996981'",纬八立交桥
12571,"'118.750101,31.993004'",公交车辆厂
12572,"'118.74826,31.990755'",公交车辆厂南
12573,"'118.745512,31.987053'",小行桥
12574,"'118.749634,31.977764'",软件大道西
12575,"'118.744078,31.98071'",小行小区
12576,"'118.744266,31.984185'",小行里
12577,"'118.747234,31.986205'",小行
12578,"'118.75201,31.987561'",时光澔韵
12579,"'118.758305,31.99021'",菊花台
12580,"'118.762805,31.993661'",安德门
14561,"'118.733008,32.057587'",宁工新寓
14562,"'118.737648,32.057838'",龙江地铁站西
14563,"'118.744918,32.058299'",龙江小区
14564,"'118.753802,32.059501'",草场门大桥东
14565,"'118.758181,32.060864'",北京西路·草场门
14566,"'118.761423,32.060786'",江苏省委
14567,"'118.765908,32.060103'",玉泉路
14568,"'118.772766,32.059231'",北京西路·云南路
14569,"'118.781428,32.058574'",鼓楼公园
14570,"'118.789921,32.058029'",北京东路·进香河路
14571,"'118.799663,32.057488'",北京东路·兰园
14572,"'118.804562,32.057443'",北京东路·九华山
14573,"'118.812704,32.057088'",太平门
14574,"'118.818092,32.06749'",板仓街·岗子村
14575,"'118.821189,32.070091'",板仓村
14576,"'118.824748,32.072953'",钟麓花园
14577,"'118.829303,32.075718'",板仓街·花园路
14578,"'118.830109,32.078629'",樱驼村
14579,"'118.830443,32.080694'",蒋王庙
14580,"'118.832784,32.082566'",樱花路
14581,"'118.833733,32.084488'",樱驼花园
14582,"'118.831932,32.09584'",经五立交
14583,"'118.833183,32.09985'",墨香路
14584,"'118.834215,32.10411'",小营村
14585,"'118.834286,32.107281'",合作村
14586,"'118.834396,32.111133'",万寿村
14587,"'118.83453,32.115164'",墨香路北
14588,"'118.83477,32.12457'",燕城大道·寅春西路
14589,"'118.835074,32.127574'",神农路桥
14590,"'118.838921,32.130495'",神农路·燕城大道
14591,"'118.841736,32.133316'",燕江新城总站
15522,"'118.75338,32.108089'",南堡公园西
15523,"'118.747504,32.10329'",宝塔桥
15524,"'118.75103,32.101875'",方家营
15525,"'118.753307,32.100525'",方家营路·水关桥
15526,"'118.750311,32.097157'",机务段
15527,"'118.745301,32.095971'",南京西站
15528,"'118.743994,32.091399'",静海寺纪念馆
15529,"'118.750839,32.092078'",兴中门
15530,"'118.75243,32.092573'",阅江楼风景区东
15531,"'118.759619,32.093941'",长平桥西
15532,"'118.762639,32.093963'",长平桥东
15533,"'118.766046,32.093628'",民生街
15534,"'118.773893,32.091515'",城河村
15535,"'118.778013,32.090562'",金桥市场
15536,"'118.787904,32.089996'",中央门东
15537,"'118.791784,32.087842'",龙蟠路·南京站西
15538,"'118.800077,32.082872'",龙蟠路·南京站东
15539,"'118.809538,32.079361'",新庄广场北
15540,"'118.809536,32.085825'",曹后村
15541,"'118.810425,32.088611'",华跃路西
15542,"'118.817325,32.089119'",青年路
15543,"'118.818698,32.098338'",北苑新村南
15544,"'118.819345,32.102092'",北苑一村
15545,"'118.821825,32.103422'",北苑新村
15546,"'118.826376,32.102088'",月苑小区
15547,"'118.827174,32.098942'",月苑南路
15548,"'118.831932,32.09641'",经五立交
15549,"'118.832259,32.094221'",墨香路总站
16306,"'118.754502,32.107913'",南堡公园
16307,"'118.760178,32.110069'",金陵六村
16308,"'118.764061,32.112106'",燕江路
16309,"'118.76619,32.113857'",燕江路东
16310,"'118.768524,32.115093'",上元门
16311,"'118.769983,32.115292'",上元门地铁站
16312,"'118.775703,32.112213'",白云新寓
16313,"'118.779107,32.108553'",五塘村
16314,"'118.780571,32.105713'",五佰村路
16315,"'118.782067,32.102819'",干休所
16316,"'118.784156,32.098488'",河路道
16317,"'118.787353,32.09558'",安怀村
